Region,Country,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Niger,179315.62,124333.98,54981.64
Central America and the Caribbean,Saint Lucia,1315544.76,840127.68,475417.08
Europe,Sweden,554616.00,327348.00,227268.00
Central America and the Caribbean,Jamaica,26038.56,16260.84,9777.72
Central America and the Caribbean,Haiti,1253124.04,739624.62,513499.42
Australia and Oceania,Samoa ,4253956.00,2562200.90,1691755.10
Central America and the Caribbean,Dominican Republic,604216.80,385862.40,218354.40
Middle East and North Africa,Tunisia ,394944.00,224851.20,170092.80
Asia,Taiwan,82657.90,55378.18,27279.72
Middle East and North Africa,Tunisia ,737434.50,419839.35,317595.15
Asia,Sri Lanka,3024219.24,2437914.24,586305.00
Asia,Indonesia,2696660.61,2173859.36,522801.25
Sub-Saharan Africa,Ethiopia,910302.40,298547.20,611755.20
Sub-Saharan Africa,Swaziland,839190.00,535920.00,303270.00
Europe,Portugal,9003.45,6677.80,2325.65
Europe,Hungary,427238.90,243237.47,184001.43
Sub-Saharan Africa,Zimbabwe,152456.85,102141.27,50315.58
Europe,Armenia,64158.05,44485.95,19672.10
Asia,North Korea,3475107.93,3003951.53,471156.40
Sub-Saharan Africa,Burkina Faso,438765.60,379277.60,59488.00
Asia,India,139022.73,96395.67,42627.06
Sub-Saharan Africa,Sao Tome and Principe,3177623.85,2389577.70,788046.15
Europe,Armenia,746745.30,645501.30,101244.00
Europe,Georgia,693272.32,227368.96,465903.36
Europe,Serbia,3982017.60,2398409.64,1583607.96
Australia and Oceania,Tuvalu,1190058.40,716784.26,473274.14
Central America and the Caribbean,Barbados,1059624.68,625416.54,434208.14
Sub-Saharan Africa,Mali,679015.70,386580.11,292435.59
Sub-Saharan Africa,Central African Republic,498529.42,374894.84,123634.58
Asia,Sri Lanka,1540137.82,909027.21,631110.61
Europe,Bosnia and Herzegovina,1367128.44,806912.82,560215.62
Europe,Netherlands,4827582.48,3630348.96,1197233.52
Asia,Laos,1254881.67,1011597.92,243283.75
Central America and the Caribbean,Honduras,1234042.95,994799.20,239243.75
Sub-Saharan Africa,Zambia,2050920.63,1542295.26,508625.37
Sub-Saharan Africa,Botswana,522433.92,333634.56,188799.36
Asia,Bhutan,5322102.28,4002228.56,1319873.72
Sub-Saharan Africa,Zimbabwe,2489974.02,1872464.04,617509.98
Sub-Saharan Africa,Lesotho,390342.48,270655.92,119686.56
Sub-Saharan Africa,Togo,4820899.78,3625323.56,1195576.22
Australia and Oceania,Australia,1759281.30,1520757.30,238524.00
Europe,Luxembourg,7501.32,5563.68,1937.64
Europe,Estonia,86843.64,64411.36,22432.28
Europe,United Kingdom,1648746.12,1425208.52,223537.60
Middle East and North Africa,Morocco,902175.36,532486.08,369689.28
Europe,United Kingdom,5496212.40,4430662.40,1065550.00
Australia and Oceania,Papua New Guinea,93856.10,62880.62,30975.48
Australia and Oceania,New Zealand,720531.68,499602.72,220928.96
Europe,Austria,3644499.20,2195118.88,1449380.32
Central America and the Caribbean,Saint Kitts and Nevis ,300262.94,177222.57,123040.37
Asia,Myanmar,1235440.26,788971.68,446468.58
Central America and the Caribbean,Guatemala,1851545.84,1156273.26,695272.58
Central America and the Caribbean,Antigua and Barbuda ,1066403.32,629417.46,436985.86
Middle East and North Africa,Iran,1023112.46,603866.13,419246.33
Asia,Singapore,1301981.60,784196.74,517784.86
Sub-Saharan Africa,Sudan,1156163.12,722013.18,434149.94
Europe,Macedonia,1424883.90,811220.97,613662.93
North America,Canada,5099625.51,4110961.76,988663.75
Europe,Malta,397823.80,226490.74,171333.06
Middle East and North Africa,Iraq,909224.22,580644.96,328579.26
Europe,Austria,299295.26,207525.54,91769.72
Asia,Thailand,170525.30,97084.19,73441.11
Europe,Netherlands,13143.65,8805.83,4337.82
Sub-Saharan Africa,Zimbabwe,749005.12,245647.36,503357.76
Central America and the Caribbean,Belize,502113.70,285865.51,216248.19
Europe,Georgia,146202.94,86292.57,59910.37
Central America and the Caribbean,Dominica,157486.55,105511.01,51975.54
Europe,Slovakia,119906.15,80333.33,39572.82
Sub-Saharan Africa,Benin,1308526.08,835645.44,472880.64
Central America and the Caribbean,Jamaica,1477880.67,1277509.07,200371.60
Middle East and North Africa,Syria,2786712.80,1678465.42,1108247.38
Europe,Bulgaria,677541.70,469794.30,207747.40
Australia and Oceania,Tonga,350133.55,234578.41,115555.14
Europe,Finland,415591.84,136299.52,279292.32
Sub-Saharan Africa,Namibia,225577.30,151129.66,74447.64
Sub-Saharan Africa,Kenya,2413927.68,1507475.52,906452.16
Australia and Oceania,Kiribati,2782008.01,2092074.02,689933.99
Australia and Oceania,Australia,66830.79,49567.96,17262.83
Sub-Saharan Africa,Eritrea,2455712.91,1979624.16,476088.75
Europe,Bulgaria,12474.21,9252.04,3222.17
Australia and Oceania,Australia,39568.53,29347.72,10220.81
Sub-Saharan Africa,The Gambia,5791861.74,4668994.24,1122867.50
Europe,Latvia,414618.10,277781.02,136837.08
Europe,Bulgaria,1010402.88,331376.64,679026.24
Europe,France,138791.25,92985.75,45805.50
Middle East and North Africa,United Arab Emirates,40202.97,29818.28,10384.69
Middle East and North Africa,Kuwait,405871.18,281423.22,124447.96
Middle East and North Africa,Iran,694378.08,481468.32,212909.76
Central America and the Caribbean,Jamaica,262256.15,175703.33,86552.82
Sub-Saharan Africa,Rwanda,1793909.70,1021316.31,772593.39
North America,United States of America,5192457.90,3904735.80,1287722.10
Europe,Cyprus,208685.10,139812.42,68872.68
Middle East and North Africa,Afghanistan,1133881.60,669244.80,464636.80
Sub-Saharan Africa,Uganda,1530819.40,871532.62,659286.78
Sub-Saharan Africa,Senegal,379141.66,223778.73,155362.93
Middle East and North Africa,Afghanistan,990695.20,596705.78,393989.42
Europe,Estonia,305343.28,211719.12,93624.16
Sub-Saharan Africa,Senegal,2440211.76,2109366.96,330844.80
Europe,Vatican City,206454.95,138318.29,68136.66
Asia,Laos,1141738.66,673882.23,467856.43
Central America and the Caribbean,Dominican Republic,1089412.32,357288.96,732123.36
Asia,Nepal,740555.53,513486.87,227068.66
Australia and Oceania,Palau,3693225.06,3192496.26,500728.80
Europe,Serbia,785329.26,501523.68,283805.58
Europe,Cyprus,281809.00,160440.70,121368.30
Asia,Indonesia,1090163.76,942358.96,147804.80
Central America and the Caribbean,Dominica,151132.86,89202.33,61930.53
Sub-Saharan Africa,Malawi,85784.80,28134.40,57650.40
Australia and Oceania,East Timor,496190.16,316874.88,179315.28
Asia,Mongolia,1084915.86,874583.36,210332.50
Sub-Saharan Africa,Kenya,693490.88,227440.64,466050.24
Europe,Moldova ,1484984.34,876474.27,608510.07
Sub-Saharan Africa,Mozambique,190683.90,108560.97,82122.93
Central America and the Caribbean,Saint Kitts and Nevis ,1082597.40,814114.80,268482.60
Australia and Oceania,Papua New Guinea,24412.80,15590.40,8822.40
Sub-Saharan Africa,Guinea,1071264.18,684126.24,387137.94
Europe,Lithuania,90575.64,67179.36,23396.28
Asia,Tajikistan,3273022.62,2829265.02,443757.60
Central America and the Caribbean,Antigua and Barbuda ,1180358.88,753795.84,426563.04
Middle East and North Africa,Saudi Arabia,5367924.03,4327245.28,1040678.75
Asia,Myanmar,2070636.12,1789898.52,280737.60
Australia and Oceania,Australia,1376469.76,859592.64,516877.12
Australia and Oceania,Kiribati,1119913.36,699375.54,420537.82
Middle East and North Africa,Pakistan,1327689.08,783634.74,544054.34
Europe,Albania,87260.55,58461.81,28798.74
Europe,Norway,6405301.56,5163506.56,1241795.00
Europe,Vatican City,2289175.14,1978807.94,310367.20
Middle East and North Africa,Algeria,527621.64,336947.52,190674.12
Europe,Hungary,886947.54,566418.72,320528.82
Asia,Tajikistan,1634047.28,1020447.42,613599.86
Sub-Saharan Africa,Djibouti,4119216.28,3097656.56,1021559.72
Europe,Macedonia,1661233.20,945780.36,715452.84
Sub-Saharan Africa,Lesotho,904110.27,781530.67,122579.60
Europe,Denmark,18980.00,12716.00,6264.00
Australia and Oceania,Nauru,156431.22,108466.38,47964.84
Europe,Moldova ,1199357.10,707890.05,491467.05
Australia and Oceania,Australia,1263409.40,719289.62,544119.78
Europe,Slovenia,3014825.94,2606074.74,408751.20
Central America and the Caribbean,Guatemala,652940.97,452736.63,200204.34
Central America and the Caribbean,Dominican Republic,862874.88,282992.64,579882.24
Middle East and North Africa,Israel,341062.88,111856.64,229206.24
Asia,Brunei,92527.50,61990.50,30537.00
Asia,Myanmar,1480178.58,945265.44,534913.14
Europe,Croatia,2487969.21,1870956.42,617012.79
Australia and Oceania,Tonga,917296.32,300840.96,616455.36
Europe,Belarus,19565.62,11548.11,8017.51
Sub-Saharan Africa,Mali,996926.07,861762.47,135163.60
Asia,Bangladesh,252264.40,151941.41,100322.99
Sub-Saharan Africa,Djibouti,4736250.33,3818034.08,918216.25
Sub-Saharan Africa,Eritrea,1783641.36,1113867.54,669773.82
Middle East and North Africa,Iran,196370.46,125405.28,70965.18
Asia,Kyrgyzstan,1591369.08,1375610.68,215758.40
Sub-Saharan Africa,Mauritius ,773733.18,494118.24,279614.94
Sub-Saharan Africa,Ghana,3429834.00,2065823.85,1364010.15
Central America and the Caribbean,Dominican Republic,780839.20,470307.38,310531.82
Sub-Saharan Africa,Togo,2200258.32,1374040.98,826217.34
Sub-Saharan Africa,Angola,66233.67,49125.08,17108.59
Sub-Saharan Africa,Ghana,2045048.08,1277113.62,767934.46
Europe,Romania,3869575.08,3344936.68,524638.40
Sub-Saharan Africa,Zimbabwe,47208.96,15482.88,31726.08
Sub-Saharan Africa,Benin,411438.95,275651.09,135787.86
Middle East and North Africa,Algeria,305765.44,100280.32,205485.12
Middle East and North Africa,Lebanon,81712.14,60605.36,21106.78
Europe,Vatican City,930381.10,529688.53,400692.57
Middle East and North Africa,Somalia,1301417.44,812723.16,488694.28
Europe,Estonia,5025390.40,3779100.80,1246289.60
Middle East and North Africa,Libya,478610.88,331859.52,146751.36
Asia,Uzbekistan,1276162.80,726550.44,549612.36
Sub-Saharan Africa,Lesotho,258623.10,165160.80,93462.30
Sub-Saharan Africa,Democratic Republic of the Congo,1142671.62,729728.16,412943.46
Sub-Saharan Africa,Tanzania,472317.67,327495.93,144821.74
Asia,Vietnam,162091.60,92282.68,69808.92
Sub-Saharan Africa,Comoros,1591369.08,1375610.68,215758.40
Sub-Saharan Africa,Comoros,5356852.32,4028360.64,1328491.68
Central America and the Caribbean,Trinidad and Tobago,2565488.53,1929251.06,636237.47
Australia and Oceania,Palau,33466.71,24822.04,8644.67
Europe,Macedonia,61979.19,45969.56,16009.63
Sub-Saharan Africa,Comoros,41191.95,30551.80,10640.15
Sub-Saharan Africa,Zambia,1365237.44,852578.16,512659.28
Australia and Oceania,Vanuatu,1512678.12,966020.16,546657.96
Europe,Cyprus,865663.14,510935.67,354727.47
Asia,Thailand,305007.42,194782.56,110224.86
Asia,Kyrgyzstan,3755677.40,2824274.80,931402.60
Central America and the Caribbean,Saint Vincent and the Grenadines,1297332.96,810172.44,487160.52
Sub-Saharan Africa,Mauritius ,1535253.92,958751.88,576502.04
Europe,Hungary,4061745.06,3054438.12,1007306.94
Europe,Switzerland,2050006.20,1167118.26,882887.94
Europe,Denmark,1123742.56,701766.84,421975.72
Europe,Cyprus,2044799.40,1648374.40,396425.00
Sub-Saharan Africa,Rwanda,93334.15,62530.93,30803.22
Sub-Saharan Africa,Benin,570022.00,336441.00,233581.00
Europe,Norway,655771.60,373346.68,282424.92
Middle East and North Africa,Saudi Arabia,252436.80,82790.40,169646.40
Australia and Oceania,Nauru,759543.24,485056.32,274486.92
Australia and Oceania,Kiribati,1425419.91,1071917.82,353502.09
Europe,Lithuania,4396318.71,3544004.96,852313.75
Australia and Oceania,Palau,1361120.10,803366.55,557753.55
Asia,Sri Lanka,34490.06,23914.74,10575.32
Sub-Saharan Africa,Djibouti,5402.07,4006.68,1395.39
Central America and the Caribbean,Guatemala,177066.00,106648.65,70417.35
Sub-Saharan Africa,Zimbabwe,5228565.09,4214903.84,1013661.25
Sub-Saharan Africa,Comoros,1524288.57,1317624.97,206663.60
Europe,Netherlands,2832112.29,2283051.04,549061.25
Europe,Portugal,1033898.08,339082.24,694815.84
Europe,Spain,1328477.12,829621.68,498855.44
Middle East and North Africa,Egypt,1077828.64,353489.92,724338.72
Europe,Slovenia,1349103.42,796274.01,552829.41
Europe,Ireland,4036667.60,2431325.89,1605341.71
Asia,Taiwan,2392960.08,2068521.68,324438.40
Sub-Saharan Africa,Swaziland,1892176.65,1635634.65,256542.00
Europe,Armenia,85033.62,63068.88,21964.74
Sub-Saharan Africa,The Gambia,550006.24,180382.72,369623.52
Middle East and North Africa,Iran,976457.90,555921.17,420536.73
Europe,Andorra,712486.48,444941.22,267545.26
Middle East and North Africa,Morocco,113080.04,66742.62,46337.42
Asia,Bhutan,237465.44,77880.32,159585.12
Asia,Mongolia,367215.55,246022.81,121192.74
Sub-Saharan Africa,Eritrea,60562.53,48821.28,11741.25
Sub-Saharan Africa,Central African Republic,975651.84,319979.52,655672.32
North America,Greenland,55662.78,41284.72,14378.06
Middle East and North Africa,Somalia,1534899.78,905935.59,628964.19
Sub-Saharan Africa,Cameroon,350718.50,199672.55,151045.95
Asia,Uzbekistan,427477.05,286396.11,141080.94
Sub-Saharan Africa,Ethiopia,140902.52,97699.08,43203.44
Asia,Kyrgyzstan,4382643.30,3532980.80,849662.50
Europe,United Kingdom,1284493.60,773663.54,510830.06
Australia and Oceania,Marshall Islands,959728.20,612897.60,346830.60
Asia,North Korea,1215132.80,758839.20,456293.60
Australia and Oceania,Nauru,1414597.17,1222805.57,191791.60
Central America and the Caribbean,Saint Lucia,432032.25,289447.95,142584.30
Europe,Ukraine,928144.14,592727.52,335416.62
Sub-Saharan Africa,Sao Tome and Principe,31629.51,21931.29,9698.22
Europe,Bulgaria,562245.60,184396.80,377848.80
Europe,Romania,3594027.99,2897254.24,696773.75
Middle East and North Africa,Yemen,761295.70,433424.11,327871.59
North America,United States of America,2616945.32,1967946.64,648998.68
Central America and the Caribbean,Antigua and Barbuda ,1142663.02,674427.81,468235.21
Europe,Latvia,1541104.40,877388.12,663716.28
Central America and the Caribbean,El Salvador,680049.06,434290.08,245758.98
Central America and the Caribbean,The Bahamas,429798.60,346473.60,83325.00
Asia,Maldives,448125.59,310721.61,137403.98
Sub-Saharan Africa,Nigeria,85774.08,53565.12,32208.96
Sub-Saharan Africa,Zimbabwe,564013.66,332894.73,231118.93
Europe,Armenia,1514576.24,945838.86,568737.38
Europe,Belarus,380453.15,263798.85,116654.30
Middle East and North Africa,Kuwait,6098581.65,4916250.40,1182331.25
Central America and the Caribbean,Panama,724307.84,237547.52,486760.32
Asia,Turkmenistan,551426.88,180848.64,370578.24
Central America and the Caribbean,Guatemala,26882.88,8816.64,18066.24
Sub-Saharan Africa,Sudan,4172492.10,3606784.10,565708.00
Middle East and North Africa,Afghanistan,1335700.20,788363.10,547337.10
Europe,Sweden,505192.38,322623.84,182568.54
Europe,Moldova ,1556531.90,886171.37,670360.53
Europe,Belgium,590417.52,409384.08,181033.44
Sub-Saharan Africa,South Africa,47573.67,35285.08,12288.59
Sub-Saharan Africa,Mauritania,2549059.38,2203456.98,345602.40
Middle East and North Africa,Azerbaijan,91673.40,61418.28,30255.12
Sub-Saharan Africa,Sao Tome and Principe,1019234.40,650899.20,368335.20
Middle East and North Africa,Libya,134195.84,44011.52,90184.32
Europe,Portugal,405744.95,271836.29,133908.66
Middle East and North Africa,Lebanon,5634268.92,4541953.92,1092315.00
Australia and Oceania,Marshall Islands,1505725.41,1301578.61,204146.80
Central America and the Caribbean,Barbados,1035726.80,623828.77,411898.03
Sub-Saharan Africa,Sao Tome and Principe,57379.50,42558.00,14821.50
Australia and Oceania,Samoa ,144342.90,96705.18,47637.72
Australia and Oceania,Tonga,2142473.62,1611143.24,531330.38
Europe,France,1617948.15,1398586.15,219362.00
Europe,Liechtenstein,633512.16,404570.88,228941.28
Sub-Saharan Africa,South Africa,173818.68,150252.28,23566.40
Europe,Kosovo,98461.28,32291.84,66169.44
Australia and Oceania,Palau,192740.90,109732.07,83008.83
Europe,Sweden,373384.05,250155.51,123228.54
Europe,Bosnia and Herzegovina,3956100.75,3189132.00,766968.75
Central America and the Caribbean,Antigua and Barbuda ,300277.44,191761.92,108515.52
Sub-Saharan Africa,Mauritius ,3930428.00,2367336.70,1563091.30
Central America and the Caribbean,Costa Rica,213642.22,148135.38,65506.84
Sub-Saharan Africa,Burundi,253620.25,169917.55,83702.70
Sub-Saharan Africa,Sudan,353598.30,201312.09,152286.21
Europe,Croatia,843700.40,526883.10,316817.30
Asia,Cambodia,760884.30,433189.89,327694.41
Europe,Liechtenstein,32962.89,24448.36,8514.53
Sub-Saharan Africa,Lesotho,259409.15,173795.93,85613.22
Sub-Saharan Africa,Sierra Leone,6144074.38,4620352.76,1523721.62
Middle East and North Africa,Somalia,703435.36,230702.08,472733.28
Sub-Saharan Africa,Sudan,486456.96,337299.84,149157.12
Sub-Saharan Africa,Botswana,5550914.04,4474759.04,1076155.00
Sub-Saharan Africa,South Africa,1283534.91,1034696.16,248838.75
Central America and the Caribbean,Saint Kitts and Nevis ,4103846.07,3086098.14,1017747.93
Europe,United Kingdom,3460000.80,2083993.62,1376007.18
Australia and Oceania,Marshall Islands,946301.16,604322.88,341978.28
Sub-Saharan Africa,Eritrea,567778.31,393686.49,174091.82
Central America and the Caribbean,Panama,1670695.40,951167.42,719527.98
Sub-Saharan Africa,Democratic Republic of the Congo,2069267.60,1246340.89,822926.71
Asia,Brunei,587738.90,346897.95,240840.95
Sub-Saharan Africa,Sudan,88037.88,65297.12,22740.76
Central America and the Caribbean,Jamaica,71785.02,53242.48,18542.54
Sub-Saharan Africa,Togo,262437.60,167596.80,94840.80
Europe,Andorra,62268.42,46184.08,16084.34
Sub-Saharan Africa,Central African Republic,518970.72,170204.16,348766.56
Asia,Cambodia,110054.49,88718.24,21336.25
Europe,Poland,2727267.48,2198532.48,528735.00
Middle East and North Africa,Afghanistan,61480.84,46233.68,15247.16
Central America and the Caribbean,El Salvador,3585040.00,2159306.00,1425734.00
Middle East and North Africa,Oman,573375.66,431179.32,142196.34
Sub-Saharan Africa,Madagascar,1532259.30,872352.39,659906.91
Asia,India,445175.90,298253.78,146922.12
Australia and Oceania,Tonga,778158.00,496944.00,281214.00
Central America and the Caribbean,Panama,3305541.96,2664696.96,640845.00
Europe,Denmark,1402051.20,798221.76,603829.44
Europe,Denmark,4309043.20,2595380.48,1713662.72
Middle East and North Africa,Yemen,194523.36,121478.04,73045.32
Sub-Saharan Africa,Botswana,888883.52,291522.56,597360.96
Europe,Portugal,621311.46,430805.34,190506.12
Europe,Poland,557888.98,386829.42,171059.56
Sub-Saharan Africa,Sao Tome and Principe,54530.72,17884.16,36646.56
Sub-Saharan Africa,Equatorial Guinea,253620.25,169917.55,83702.70
Central America and the Caribbean,Grenada,242849.10,162701.22,80147.88
Sub-Saharan Africa,Mauritania,2364693.45,2044087.45,320606.00
Asia,Uzbekistan,6267245.04,5052215.04,1215030.00
Middle East and North Africa,Saudi Arabia,415719.70,236679.31,179040.39
Middle East and North Africa,Afghanistan,43655.07,32378.68,11276.39
Sub-Saharan Africa,Mali,309989.90,176484.77,133505.13
North America,Mexico,1507465.60,907961.84,599503.76
Central America and the Caribbean,Costa Rica,284011.75,196928.25,87083.50
Europe,Switzerland,1065890.65,801551.30,264339.35
Sub-Saharan Africa,Nigeria,4152241.38,3589278.98,562962.40
Europe,Romania,3184564.80,1918095.72,1266469.08
Middle East and North Africa,Azerbaijan,2117887.80,1830743.80,287144.00
Asia,Nepal,96359.67,66813.93,29545.74
Europe,Czech Republic,1218361.10,693642.53,524718.57
Europe,Croatia,704309.60,230988.80,473320.80
Europe,Latvia,859972.40,517970.11,342002.29
Europe,Bulgaria,3823314.00,2302820.85,1520493.15
Sub-Saharan Africa,Botswana,240286.80,160984.56,79302.24
Europe,Spain,1284185.10,731117.73,553067.37
Sub-Saharan Africa,Cape Verde,1469192.82,938249.76,530943.06
Central America and the Caribbean,The Bahamas,4051831.56,3502482.76,549348.80
Europe,Albania,397012.62,234326.61,162686.01
Europe,Macedonia,306733.46,181041.63,125691.83
Europe,Poland,271343.60,188144.40,83199.20
Middle East and North Africa,Tunisia ,2314879.04,1445620.56,869258.48
North America,United States of America,2457015.33,1980674.08,476341.25
Europe,Serbia,1373372.58,877057.44,496315.14
Asia,Myanmar,5580054.50,4196209.00,1383845.50
Sub-Saharan Africa,Liberia,267954.56,87879.68,180074.88
Sub-Saharan Africa,Tanzania,324141.18,224753.22,99387.96
Asia,Philippines,1728146.22,1299568.44,428577.78
Asia,Bangladesh,5238.04,3091.62,2146.42
Central America and the Caribbean,Dominica,1042076.20,593279.26,448796.94
Sub-Saharan Africa,Democratic Republic of the Congo,401806.60,269197.72,132608.88
Sub-Saharan Africa,Botswana,3522957.60,2121913.14,1401044.46
Central America and the Caribbean,El Salvador,561952.14,358871.52,203080.62
Asia,Japan,457476.80,260452.64,197024.16
Europe,Monaco,211844.16,146888.64,64955.52
Central America and the Caribbean,Guatemala,307557.81,265859.01,41698.80
Europe,Armenia,710062.54,419096.37,290966.17
Central America and the Caribbean,The Bahamas,2358276.64,1472721.96,885554.68
Europe,Montenegro,421212.00,263043.00,158169.00
Europe,Croatia,280571.85,187974.27,92597.58
Europe,Portugal,1671518.20,951635.86,719882.34
Central America and the Caribbean,Antigua and Barbuda ,620824.00,373928.60,246895.40
Middle East and North Africa,Afghanistan,417088.80,251216.82,165871.98
Middle East and North Africa,Kuwait,729195.06,505609.74,223585.32
North America,United States of America,1470656.76,868017.78,602638.98
Europe,Malta,2728546.41,2051870.82,676675.59
Australia and Oceania,New Zealand,3788088.57,3053692.32,734396.25
Sub-Saharan Africa,Angola,553721.76,181601.28,372120.48
Australia and Oceania,Kiribati,39018.06,28939.44,10078.62
Central America and the Caribbean,Dominica,277461.92,90997.76,186464.16
Europe,Armenia,396449.84,247579.26,148870.58
